iter	Passed	Remaining
0	133	133418
1	134	67006
2	134	44851
3	135	33790
4	136	27141
5	137	22706
6	137	19539
7	138	17164
8	139	15321
9	139	13848
10	140	12642
11	141	11638
12	142	10786
13	142	10057
14	143	9423
15	144	8867
16	144	8378
17	145	7943
18	146	7553
19	147	7215
20	148	6908
21	148	6622
22	149	6358
23	150	6116
24	151	5896
25	151	5690
26	152	5500
27	153	5323
28	154	5159
29	154	5007
30	155	4865
31	156	4731
32	157	4607
33	158	4491
34	158	4378
35	159	4272
36	160	4172
37	161	4083
38	162	3996
39	162	3911
40	163	3831
41	164	3754
42	165	3681
43	166	3611
44	167	3544
45	167	3480
46	168	3417
47	169	3358
48	170	3302
49	170	3247
50	171	3194
51	172	3144
52	173	3095
53	174	3049
54	174	3005
55	175	2964
56	176	2923
57	177	2884
58	178	2845
59	179	2807
60	180	2772
61	181	2738
62	181	2705
63	182	2672
64	183	2640
65	184	2608
66	185	2578
67	185	2548
68	186	2521
69	187	2493
70	188	2466
71	189	2440
72	190	2415
73	191	2391
74	191	2367
75	192	2344
76	193	2321
77	194	2299
78	195	2278
79	196	2257
80	197	2236
81	198	2217
82	198	2193
83	199	2174
84	200	2156
85	201	2137
86	202	2120
87	202	2102
88	203	2086
89	204	2069
90	205	2052
91	206	2035
92	207	2020
93	208	2006
94	209	1991
95	209	1976
96	210	1962
97	211	1948
98	212	1934
99	213	1922
100	214	1909
101	215	1897
102	216	1884
103	217	1871
104	218	1858
105	218	1846
106	219	1834
107	220	1822
108	221	1813
109	222	1803
110	223	1792
111	224	1781
112	225	1771
113	226	1760
114	227	1750
115	228	1740
116	229	1730
117	230	1720
118	231	1710
119	231	1701
120	232	1692
121	233	1681
122	234	1672
123	235	1663
124	236	1654
125	237	1645
126	238	1636
127	238	1627
128	239	1619
129	240	1611
130	241	1603
131	242	1595
132	243	1587
133	244	1579
134	245	1572
135	246	1565
136	247	1557
137	248	1550
138	249	1543
139	250	1536
140	251	1529
141	251	1520
142	252	1514
143	253	1507
144	254	1500
145	255	1493
146	256	1486
147	257	1479
148	257	1473
149	258	1467
150	259	1460
151	260	1454
152	261	1448
153	262	1442
154	263	1437
155	264	1432
156	265	1427
157	266	1422
158	268	1418
159	269	1413
160	269	1406
161	270	1400
162	271	1395
163	272	1389
164	273	1383
165	274	1378
166	275	1373
167	276	1368
168	277	1363
169	278	1358
170	279	1353
171	280	1349
172	281	1344
173	282	1339
174	283	1334
175	284	1330
176	285	1325
177	285	1320
178	286	1315
179	287	1311
180	288	1306
181	289	1302
182	290	1297
183	291	1294
184	292	1290
185	293	1286
186	294	1281
187	295	1277
188	296	1273
189	297	1269
190	298	1265
191	299	1261
192	300	1258
193	301	1253
194	302	1249
195	303	1246
196	304	1242
197	305	1238
198	306	1234
199	307	1230
200	308	1226
201	309	1223
202	310	1219
203	311	1215
204	312	1212
205	313	1209
206	314	1205
207	315	1201
208	316	1197
209	317	1194
210	318	1191
211	319	1188
212	320	1185
213	321	1182
214	323	1179
215	324	1176
216	325	1173
217	326	1169
218	327	1166
219	328	1163
220	329	1160
221	330	1157
222	331	1154
223	332	1151
224	333	1149
225	334	1146
226	335	1143
227	336	1140
228	337	1137
229	338	1134
230	339	1131
231	341	1129
232	343	1129
233	344	1128
234	346	1127
235	348	1129
236	350	1127
237	352	1127
238	354	1127
239	357	1130
240	359	1132
241	360	1129
242	362	1128
243	363	1125
244	364	1123
245	365	1120
246	366	1118
247	368	1116
248	369	1115
249	370	1112
250	372	1110
251	373	1108
252	374	1106
253	375	1103
254	376	1101
255	378	1099
256	379	1096
